Markdown Path,Markdown Filename,title,articleIndex,index,description,date,draft,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,articletype,azure_dir,header_image,header_image.filename,header_image.alt_text,tags,byline,subtitle,no_leaf_bug,Obsolete Front Matter
volume-v-issue-2,stowe.md,Sacrifice State: ...,3,stowe,,11/05/2022 16:56:07,False,1,interviewee,Bill Stowe,1.png,Photo courtesy of...,"Bill Stowe, the C...",,rootstalk-2019-sp...,,,,interview,,,,['azure_headerimage']
volume-v-issue-2,podcast.md,Roots Talk! Episo...,18,podcast,,11/05/2022 16:56:07,False,1,interviewee,Heather Swan,Heather_Swan_head...,Photo courtesy of...,,,rootstalk-2019-sp...,,,,"podcast,interview",,,,['azure_headerimage']
volume-v-issue-2,goodnature.md,Thoreau’s Home on...,19,goodnature,,11/05/2022 16:56:07,False,1,author,Paul Goodnature,Goodnature_headsh...,Photo courtesy of...,Paul Goodnature w...,,rootstalk-2019-sp...,,,,essay,,,,['azure_headerimage']
volume-v-issue-2,behar.md,Establishing Nati...,9,behar,,11/05/2022 16:56:07,False,1,author,Harriet Behar,Harriet_Behar_hea...,Photo courtesy of...,[Harriet Behar](h...,,rootstalk-2019-sp...,,,,essay,,,,['azure_headerimage']
volume-v-issue-2,white.md,Violence Against ...,5,white,,11/05/2022 16:56:07,False,2,author,Kandi White,White_headshot.jpg,Photo courtesy of...,Kandi White ([Man...,,rootstalk-2019-sp...,,,,", ",,,,['azure_headerimage']
volume-v-issue-2,cohen.md,The Greater Prair...,8,cohen,,11/05/2022 16:56:07,False,2,author,Ilana Cohen,,,,,rootstalk-2019-sp...,,,,"photo essay,media",,,,['azure_headerimage']
volume-v-issue-2,snodgrass.md,The Tools of Prai...,7,snodgrass,,11/05/2022 16:56:07,False,1,author,Rachel Snodgrass,Snodgrass_headsho...,Photo courtesy of...,Rachel Snodgrass ...,,rootstalk-2019-sp...,,,,"essay,infographic",,,,['azure_headerimage']
volume-v-issue-2,brandt.md,Literacy and Oppo...,12,brandt,,11/05/2022 16:56:07,False,2,interviewee,Deborah Brandt,headshot.jpg,Photo courtesy of...,Deborah Brandt is...,,rootstalk-2019-sp...,,,,"essay,interview",,,,['azure_headerimage']
volume-v-issue-2,_index.md,"Volume V, Issue 2",,,Spring 2019,,,,,,,,,,rootstalk-2019-sp...,,,,,,,,"['issueIndex', 'sidebar', 'pid']"
volume-v-issue-2,moffett.md,Why Drive to Cent...,4,moffett,,11/05/2022 16:56:07,False,1,author,Sandy Moffett,Moffett_headshot.png,Photo courtesy of...,"Sandy Moffett, Em...",,rootstalk-2019-sp...,,,,essay,,,,['azure_headerimage']
