Content Path,Filename,develop Link,main Link,Production Link,title,last_modified_at,to-do List,articleIndex,description,azure_dir,Obsolete Front Matter,contributors,contributor.role,contributor.name,contributor.headshot,contributor.caption,contributor.bio,categories,header_image,header_image.filename,header_image.alt_text,tags,byline,byline2,subtitle,no_leaf_bug,index,date,draft
volume-ix-issue-1,editors,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/editors ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/editors ,https://rootstalk.grinnell.edu/volume-ix-issue-1/editors ,The Editors,,,1,,rootstalk-2023-spring,[],,,,,,,Editors' Photo,True,class-header.jpg,Photo of the Spring 2023 Rootstalk class,,by Spring 2023 Editors,,,True,editors,15/08/2023 13:32:42,False
volume-ix-issue-1,gresham,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/gresham ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/gresham ,https://rootstalk.grinnell.edu/volume-ix-issue-1/gresham ,Sundogs,,,20,,rootstalk-2023-spring,[],1,author,Will Gresham,gresham-1-volume-ix-issue-1-spring-2023-.jpg,Photo by Beck Lambert,Will Gresham is an undergraduate at Grinnell College where he leads the off-campus [Stew Makerspace's](https://stew.sites.grinnel...,Photo Essay,True,gresham-header.jpg,,,by Will Gresham,,,,gresham,18/08/2023 08:13:13,False
volume-ix-issue-1,podcast,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/podcast ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/podcast ,https://rootstalk.grinnell.edu/volume-ix-issue-1/podcast ,RootsTalk! Podcast #7: Sustainability in Iowa: An Interview with Charles Connerly,,,14,,rootstalk-2023-spring,[],1,author,Chuck Connerly,podcast-connerly-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Charles Connerly,Chuck Connerly is a professor emeritus of planning and public affairs at the [University of Iowa](https://sppa.uiowa.edu). Prior ...,Podcast,True,podcast-header.jpg,,interview,,,,,podcast,18/08/2023 08:13:13,False
volume-ix-issue-1,edwards,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/edwards ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/edwards ,https://rootstalk.grinnell.edu/volume-ix-issue-1/edwards ,Finding A Home: A Young Farmer's Journey,,,13,,rootstalk-2023-spring,[],1,author,Kate Edwards,Edwards-1-volume-ix-issue-1-spring-2023.jpg,All photos courtesy of Kate Edwards,"Kate Edwards owns [Wild Woods Farm](https://wildwoodscsa.com), a Community Supported Agriculture vegetable operation. She started...",Memoir,True,edwards-header.jpg,,,by Kate Edwards,,,,edwards,18/08/2023 08:13:13,False
volume-ix-issue-1,dejule,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/dejule ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/dejule ,https://rootstalk.grinnell.edu/volume-ix-issue-1/dejule ,Wolves Under Threat: A Deep Dive into the Endangered Species Act,,,7,,rootstalk-2023-spring,[],1,author,Lucien Akira DeJule,dejule-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Lucien Akira DeJule,Lucien Akira DeJule (he/him) graduated from Grinnell College in May of 2023 with a degree in English. His passion lies in writing...,Essay,True,dejule-header.jpg,,,by Lucien Akira DeJule,,,,dejule,18/08/2023 08:13:13,False
volume-ix-issue-1,weeks,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/weeks ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/weeks ,https://rootstalk.grinnell.edu/volume-ix-issue-1/weeks ,The Emptying of Rural Iowa,,,12,,rootstalk-2023-spring,[],1,author,Dan Weeks,weeks-headshot.jpg,Photo courtesy of Dan Weeks,"Dan Weeks is a freelance writer, photographer, and magazine and nonfiction book editor. He has a BA in American Studies from Grin...",Essay,True,weeks-header.jpg,,featured,by Dan Weeks,,,,weeks,18/08/2023 08:13:13,False
volume-ix-issue-1,martinez,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/martinez ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/martinez ,https://rootstalk.grinnell.edu/volume-ix-issue-1/martinez ,La Voz de la Comunidad: the Effect of the Discount Mall's Closure on the People of La Villita,,,2,,rootstalk-2023-spring,[],1,author,Francisco Pantoja Martinez,Pantoja-1-volume-ix-issue-1-spring-2023.jpg,Photo by Paul Chan Htoo Sang. All other photos by the author,"A Chicago native, Francisco Pantoja Martinez is currently pursuing his studies at Grinnell College under the Questbridge Scholars...",Essay,True,pantoja-header.jpg,,featured,by Francisco Pantoja Martinez,,,,martinez,15/08/2023 13:32:42,False
volume-ix-issue-1,klassen,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/klassen ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/klassen ,https://rootstalk.grinnell.edu/volume-ix-issue-1/klassen ,The Propaganda of Postcards,,,4,,rootstalk-2023-spring,[],1,author,Kylie Klassen,Klassen-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Eleanor Elliott-Rude,"Kylie Klassen is a second-year student at Grinnell College, where she is double majoring in English and Anthropology and concentr...",Essay,True,klassen-header.jpg,,,by Kylie Klassen,,,,klassen,18/08/2023 08:13:13,False
volume-ix-issue-1,fieser,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/fieser ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/fieser ,https://rootstalk.grinnell.edu/volume-ix-issue-1/fieser ,"Tight, Insulated, and Thermally Massive: Rethinking Residential Architecture in Columbia, Missouri",,,9,,rootstalk-2023-spring,[],1,author,Joanie Fieser,Fieser-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Saul Chan Htoo Sang!,"Joanie Fieser (she/her) graduated from Grinnell College in May 2023 with a degree in biology. She aims to restore ecosystems, con...",Interview,True,fieser-header.jpg,,featured,by Joanie Fieser,,,,fieser,18/08/2023 08:13:13,False
volume-ix-issue-1,downing,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/downing ,https://yellow-wave-0e513e510.3.azurestaticapps.net/volume-ix-issue-1/downing ,https://rootstalk.grinnell.edu/volume-ix-issue-1/downing ,Two Poems,,,18,,rootstalk-2023-spring,[],1,author,Karen Downing,Downing-1-volume-ix-issue-1-spring-2023.jpg,Photo courtesy of Karen Downing,Karen Downing taught high school English for 34 years. She is the Special Projects Coordinator for CultureALL's Open Book program...,Poetry,True,downing-header.jpg,,,by Karen Downing,,,,downing,18/08/2023 08:13:13,False
